name,red,green,blue,alpha,id
wall,174,199,232,255,0
floor,152,223,138,255,1
cabinet,31,119,180,255,2
bed,255,187,120,255,3
chair,188,189,34,255,4
sofa,140,86,75,255,5
table,255,152,150,255,6
door,214,39,40,255,7
window,197,176,213,255,8
bookshelf,148,103,189,255,9
picture,196,156,148,255,10
counter,23,190,207,255,11
desk,178,76,76,255,12
curtain,247,182,210,255,13
refrigerator,66,188,102,255,14
shower_curtain,219,219,141,255,15
toilet,255,127,14,255,16
sink,158,218,229,255,17
bathtub,44,160,44,255,18
otherfurniture,112,128,144,255,19
ignored_dynamic,0,0,0,0,20
